year,gdp,cc,cn
1960,6592693841,1,AUST
1961,7311749633,1,AUST
1962,7756110210,1,AUST
1963,8374175258,1,AUST
1964,9169983886,1,AUST
1965,9994070616,1,AUST
1966,10887682273,1,AUST
1967,11579431669,1,AUST
1968,12440625313,1,AUST
1969,13582798556,1,AUST
1970,15373005557,1,AUST
1971,17858486067,1,AUST
1972,22059612477,1,AUST
1973,29515467707,1,AUST
1974,35189299912,1,AUST
1975,40059206763,1,AUST
1976,42959976222,1,AUST
1977,51545758888,1,AUST
1978,62052259073,1,AUST
1979,73937296963,1,AUST
1980,82058912997,1,AUST
1981,71034228443,1,AUST
1982,71275287570,1,AUST
1983,72121016547,1,AUST
1984,67985344887,1,AUST
1985,69386774408,1,AUST
1986,99036164939,1,AUST
1987,1.24168E+11,1,AUST
1988,1.33339E+11,1,AUST
1989,1.33106E+11,1,AUST
1990,1.66463E+11,1,AUST
1991,1.73794E+11,1,AUST
1992,1.95078E+11,1,AUST
1993,1.9038E+11,1,AUST
1994,2.03535E+11,1,AUST
1995,2.41038E+11,1,AUST
1996,2.37251E+11,1,AUST
1997,2.1279E+11,1,AUST
1998,2.1826E+11,1,AUST
1999,2.17259E+11,1,AUST
2000,1.9729E+11,1,AUST
2001,1.97509E+11,1,AUST
2002,2.14395E+11,1,AUST
2003,2.62274E+11,1,AUST
2004,3.01458E+11,1,AUST
2005,3.16092E+11,1,AUST
2006,3.3628E+11,1,AUST
2007,3.89186E+11,1,AUST
2008,4.32052E+11,1,AUST
2009,4.01759E+11,1,AUST
2010,3.92275E+11,1,AUST
2011,4.31685E+11,1,AUST
2012,4.09402E+11,1,AUST
2013,4.30191E+11,1,AUST
2014,4.42585E+11,1,AUST
2015,3.81971E+11,1,AUST
2016,3.95837E+11,1,AUST
2017,4.17261E+11,1,AUST
2018,4.55168E+11,1,AUST
2019,4.45012E+11,1,AUST
2020,4.33258E+11,1,AUST
2021,4.77082E+11,1,AUST
1960,335650000,2,HON
1961,356200000,2,HON
1962,387750000,2,HON
1963,410200000,2,HON
1964,457000000,2,HON
1965,508650000,2,HON
1966,549950000,2,HON
1967,598100000,2,HON
1968,646800000,2,HON
1969,668000050,2,HON
1970,723000000,2,HON
1971,731000000,2,HON
1972,802999950,2,HON
1973,912499950,2,HON
1974,1034500000,2,HON
1975,1124000000,2,HON
1976,1347999950,2,HON
1977,1669499950,2,HON
1978,3097242093,2,HON
1979,3544281976,2,HON
1980,3968160046,2,HON
1981,4043894879,2,HON
1982,4266503526,2,HON
1983,4476697185,2,HON
1984,4915311847,2,HON
1985,5278120713,2,HON
1986,5677828959,2,HON
1987,6190521242,2,HON
1988,5902717091,2,HON
1989,5432344902,2,HON
1990,4923009552,2,HON
1991,4648668479,2,HON
1992,4943700431,2,HON
1993,4926728933,2,HON
1994,4642280682,2,HON
1995,5347445005,2,HON
1996,5215028986,2,HON
1997,5737099650,2,HON
1998,6366340266,2,HON
1999,6414520530,2,HON
2000,7186650135,2,HON
2001,7651174661,2,HON
2002,7858235333,2,HON
2003,8230387552,2,HON
2004,8869311411,2,HON
2005,9757034457,2,HON
2006,10917481688,2,HON
2007,12361257681,2,HON
2008,13881701034,2,HON
2009,14587496229,2,HON
2010,15839344592,2,HON
2011,17710315006,2,HON
2012,18528601901,2,HON
2013,18499710128,2,HON
2014,19756494435,2,HON
2015,20979767785,2,HON
2016,21717622071,2,HON
2017,23136232230,2,HON
2018,24067778954,2,HON
2019,25089976947,2,HON
2020,23827840810,2,HON
2021,28488668302,2,HON
1960,2598500000,3,ISR
1961,3138500000,3,ISR
1962,2510000000,3,ISR
1963,2992333333,3,ISR
1964,3405333333,3,ISR
1965,3663333333,3,ISR
1966,3980000000,3,ISR
1967,4030000000,3,ISR
1968,4619000000,3,ISR
1969,5329333333,3,ISR
1970,,3,ISR
1971,,3,ISR
1972,,3,ISR
1973,,3,ISR
1974,,3,ISR
1975,,3,ISR
1976,,3,ISR
1977,,3,ISR
1978,,3,ISR
1979,,3,ISR
1980,,3,ISR
1981,,3,ISR
1982,,3,ISR
1983,,3,ISR
1984,,3,ISR
1985,,3,ISR
1986,,3,ISR
1987,,3,ISR
1988,,3,ISR
1989,,3,ISR
1990,,3,ISR
1991,,3,ISR
1992,,3,ISR
1993,,3,ISR
1994,,3,ISR
1995,1.00606E+11,3,ISR
1996,1.10181E+11,3,ISR
1997,1.14753E+11,3,ISR
1998,1.15999E+11,3,ISR
1999,1.17166E+11,3,ISR
2000,1.32456E+11,3,ISR
2001,1.30816E+11,3,ISR
2002,1.21148E+11,3,ISR
2003,1.27047E+11,3,ISR
2004,1.35571E+11,3,ISR
2005,1.42657E+11,3,ISR
2006,1.54145E+11,3,ISR
2007,1.79162E+11,3,ISR
2008,2.16712E+11,3,ISR
2009,2.07953E+11,3,ISR
2010,2.34655E+11,3,ISR
2011,2.62294E+11,3,ISR
2012,2.58417E+11,3,ISR
2013,2.94167E+11,3,ISR
2014,3.10945E+11,3,ISR
2015,3.00078E+11,3,ISR
2016,3.19024E+11,3,ISR
2017,3.55277E+11,3,ISR
2018,3.73641E+11,3,ISR
2019,3.97935E+11,3,ISR
2020,4.07101E+11,3,ISR
2021,4.81591E+11,3,ISR
